time,cpu%,mem%
20200923-174411,0.0,0.691884907787
20200923-174412,97.9,0.691884907787
20200923-174413,77.9,0.691884907787
20200923-174414,139.9,0.691884907787
20200923-174415,124.8,0.691884907787
20200923-174416,128.8,0.691884907787
20200923-174417,132.8,0.691884907787
20200923-174418,119.9,0.691884907787
20200923-174419,117.9,0.691884907787
20200923-174420,146.8,0.691909640929
20200923-174421,148.7,0.691909640929
20200923-174422,83.9,0.691909640929
20200923-174423,195.8,0.691909640929
20200923-174424,154.8,0.691909640929
20200923-174425,103.8,0.691909640929
20200923-174426,192.8,0.691909640929
20200923-174427,255.6,0.691934374071
20200923-174428,77.9,0.691934374071
20200923-174429,49.9,0.691934374071
20200923-174430,90.9,0.691934374071
20200923-174431,138.8,0.691934374071
20200923-174432,150.8,0.691934374071
20200923-174433,272.7,0.691934374071
20200923-174434,244.7,0.691934374071
20200923-174435,203.8,0.691934374071
20200923-174436,245.6,0.691934374071
20200923-174437,143.8,0.691934374071
20200923-174438,22.0,0.691934374071
20200923-174439,127.8,0.691934374071
20200923-174440,115.8,0.691934374071
20200923-174441,9.0,0.691934374071
20200923-174442,29.0,0.691934374071
20200923-174443,128.9,0.691934374071
20200923-174444,74.9,0.691934374071
20200923-174445,63.0,0.691934374071
20200923-174446,36.0,0.691934374071
20200923-174447,121.8,0.691934374071
20200923-174448,149.9,0.691934374071
20200923-174449,142.8,0.691934374071
20200923-174450,154.8,0.691959107213
20200923-174451,69.9,0.691959107213
20200923-174452,133.9,0.691959107213
20200923-174453,118.8,0.691959107213
20200923-174454,113.8,0.691959107213
20200923-174455,211.8,0.691959107213
20200923-174456,183.8,0.691959107213
20200923-174457,122.9,0.691959107213
20200923-174458,141.9,0.691959107213
20200923-174459,236.7,0.691959107213
20200923-174500,217.7,0.691959107213
20200923-174501,80.9,0.691959107213
20200923-174502,24.0,0.691959107213
20200923-174503,61.9,0.691959107213
20200923-174504,87.9,0.691959107213
20200923-174505,68.9,0.691959107213
20200923-174506,74.9,0.691959107213
20200923-174507,112.9,0.691959107213
20200923-174508,6.0,0.691959107213
20200923-174509,64.9,0.691959107213
20200923-174510,137.9,0.691959107213
20200923-174511,171.7,0.691959107213
20200923-174512,196.7,0.691959107213
20200923-174513,256.8,0.691959107213
20200923-174514,252.6,0.691959107213
20200923-174515,13.0,0.691959107213
20200923-174516,107.9,0.691959107213
20200923-174517,209.9,0.691959107213
20200923-174518,156.9,0.691959107213
20200923-174519,175.8,0.691959107213
20200923-174520,117.8,0.691959107213
20200923-174521,162.8,0.691959107213
20200923-174522,165.8,0.691959107213
20200923-174523,43.9,0.691959107213
20200923-174524,62.0,0.691959107213
20200923-174525,92.9,0.691959107213
20200923-174526,107.9,0.691959107213
20200923-174527,72.9,0.691959107213
20200923-174528,252.7,0.691959107213
