time,cpu%,mem%
20200923-164003,0.0,0.693245230585
20200923-164006,209.8,0.693245230585
20200923-164009,199.0,0.693245230585
20200923-164012,190.5,0.693245230585
20200923-164015,145.3,0.693245230585
20200923-164018,145.6,0.693245230585
20200923-164021,97.6,0.693245230585
20200923-164024,42.9,0.693245230585
20200923-164027,228.4,0.693245230585
20200923-164030,180.5,0.693245230585
20200923-164033,223.9,0.693245230585
20200923-164036,213.5,0.693245230585
20200923-164039,168.5,0.693245230585
20200923-164042,248.6,0.693245230585
20200923-164045,235.4,0.693245230585
20200923-164048,203.9,0.693245230585
20200923-164051,109.6,0.693245230585
20200923-164054,221.6,0.693245230585
20200923-164057,66.9,0.693245230585
20200923-164100,142.2,0.693245230585
20200923-164103,233.4,0.693245230585
20200923-164106,299.2,0.693245230585
20200923-164109,227.2,0.693245230585
20200923-164112,232.1,0.693245230585
20200923-164115,252.4,0.693245230585
20200923-164118,196.9,0.693245230585
20200923-164121,169.9,0.693245230585
20200923-164124,85.2,0.693245230585
20200923-164127,24.7,0.693245230585
20200923-164130,101.5,0.693245230585
20200923-164133,212.4,0.693245230585
20200923-164136,101.2,0.693245230585
20200923-164139,237.5,0.693245230585
20200923-164142,190.1,0.693245230585
20200923-164145,241.4,0.693245230585
20200923-164148,234.2,0.693245230585
20200923-164151,251.7,0.693245230585
20200923-164154,263.6,0.693245230585
20200923-164157,227.1,0.693245230585
20200923-164200,199.5,0.693245230585
20200923-164203,178.5,0.693245230585
20200923-164206,174.5,0.693245230585
20200923-164209,148.2,0.693245230585
20200923-164212,109.9,0.693245230585
20200923-164215,70.9,0.693245230585
20200923-164218,186.5,0.693245230585
20200923-164221,84.6,0.693245230585
20200923-164224,50.3,0.693245230585
20200923-164227,3.0,0.693245230585
20200923-164230,2.0,0.693245230585
20200923-164233,2.7,0.693245230585
20200923-164236,2.0,0.693245230585
20200923-164239,2.3,0.693245230585
20200923-164242,2.0,0.693245230585
20200923-164245,2.3,0.693245230585
20200923-164248,1.7,0.693245230585
