time,cpu%,mem%
20200923-092426,0.0,4.58506751563
20200923-092429,16.6,4.53122418513
20200923-092432,14.3,4.53122418513
20200923-092435,15.6,4.53122418513
20200923-092438,16.6,4.58665041556
20200923-092441,14.0,4.58665041556
20200923-092444,14.3,4.53127365075
20200923-092447,15.3,4.53127365075
20200923-092450,16.6,4.53152097887
20200923-092453,16.3,4.53152097887
20200923-092456,16.3,4.53152097887
20200923-092459,15.6,4.53152097887
20200923-092502,16.3,4.53152097887
20200923-092505,16.0,4.53688799895
20200923-092508,27.7,4.56881805851
20200923-092511,31.0,4.6217710078
20200923-092514,28.6,4.5648855415
20200923-092517,26.6,4.56503393836
20200923-092520,26.3,4.56503393836
20200923-092523,26.3,4.56431668683
20200923-092526,26.6,4.61729436893
20200923-092529,28.0,4.61729436893
20200923-092532,31.6,4.61440062999
20200923-092535,22.0,4.62520886859
20200923-092538,19.6,4.65219236587
20200923-092541,22.3,4.71073493055
20200923-092544,17.7,4.71100699147
20200923-092547,20.6,4.65750992033
20200923-092550,30.6,4.67929952721
20200923-092553,42.3,4.61066597547
20200923-092556,26.7,4.66599327465
20200923-092559,28.0,4.66579541216
20200923-092602,27.3,4.60720338187
20200923-092605,29.0,4.60720338187
20200923-092608,26.0,4.68674410345
20200923-092611,24.0,4.6855569285
20200923-092614,19.0,4.6855569285
20200923-092617,15.3,4.6855569285
20200923-092620,13.7,4.6855569285
20200923-092623,27.0,4.74048850271
20200923-092626,34.3,4.65454198296
20200923-092629,29.0,4.64571236927
20200923-092632,35.3,4.78132237439
20200923-092635,26.0,4.700050356
20200923-092638,31.6,4.60341926172
20200923-092641,30.6,4.7454597978
20200923-092644,31.3,4.66230808575
20200923-092647,35.3,4.72240881754
20200923-092650,21.6,4.73227720931
20200923-092653,30.0,4.73801522156
20200923-092656,39.0,4.97715677536
20200923-092659,35.3,4.74741368991
20200923-092702,40.0,4.6639404513
20200923-092705,24.0,4.74489094314
20200923-092708,24.3,4.79997091421
20200923-092711,24.0,4.59194323721
20200923-092714,44.3,4.74160147922
20200923-092717,27.0,4.76148665962
20200923-092720,24.6,4.76034895029
20200923-092723,24.3,4.81881731653
20200923-092726,29.6,4.76445459699
20200923-092729,38.0,4.76695261094
20200923-092732,29.0,4.77283902007
20200923-092735,30.7,4.67719723824
20200923-092738,18.0,4.73413217017
20200923-092741,24.6,4.75023323041
20200923-092744,56.3,4.75097521476
20200923-092747,37.0,4.67848334443
20200923-092750,30.0,4.68266318956
20200923-092753,31.0,4.79049824743
20200923-092756,20.6,4.78770343974
20200923-092759,21.3,4.78201489311
20200923-092802,13.7,4.78201489311
20200923-092805,11.3,4.78011046663
20200923-092808,15.3,4.78011046663
20200923-092811,20.7,4.87429301259
20200923-092814,17.0,4.80219686724
20200923-092817,12.3,4.80219686724
20200923-092820,12.7,4.80333457657
20200923-092823,11.0,4.80333457657
20200923-092826,12.3,4.80536266711
20200923-092829,9.7,4.80536266711
20200923-092832,11.3,4.80536266711
20200923-092835,9.0,4.80536266711
20200923-092838,10.0,4.80536266711
20200923-092841,11.7,4.80350770625
20200923-092844,9.0,4.79769549556
20200923-092847,8.3,4.79769549556
20200923-092850,9.7,4.79769549556
20200923-092853,11.0,4.79769549556
20200923-092856,10.0,4.79559320659
20200923-092859,11.0,4.79559320659
20200923-092902,12.0,4.79559320659
20200923-092905,10.0,4.79559320659
20200923-092908,6.7,4.79559320659
20200923-092911,7.7,4.79311992545
20200923-092914,4.7,4.79104236928
20200923-092917,4.3,4.70581310107
20200923-092920,6.0,4.70581310107
20200923-092923,8.7,4.70581310107
20200923-092926,17.0,4.75475933491
20200923-092929,11.7,4.75475933491
20200923-092933,11.3,4.70148485907
20200923-092936,12.3,4.70148485907
20200923-092939,12.0,4.70148485907
20200923-092942,12.6,4.70108913408
20200923-092945,14.3,4.70108913408
20200923-092948,8.3,4.70108913408
20200923-092951,11.0,4.70108913408
20200923-092954,12.7,4.70108913408
20200923-092957,14.3,4.70118806533
20200923-093000,12.0,4.70136119501
20200923-093003,12.7,4.70136119501
20200923-093006,13.0,4.70136119501
20200923-093009,13.0,4.70136119501
20200923-093012,12.3,4.70136119501
20200923-093015,14.3,4.70539264327
20200923-093018,13.3,4.70512058235
20200923-093021,13.3,4.70512058235
20200923-093024,12.3,4.70512058235
20200923-093027,12.3,4.70606042918
20200923-093030,11.3,4.70606042918
20200923-093033,5.0,4.70383447615
20200923-093036,13.7,4.6983190592
20200923-093039,13.0,4.6983190592
20200923-093042,12.7,4.6983190592
20200923-093045,12.0,4.6983190592
20200923-093048,12.3,4.6983190592
20200923-093051,13.0,4.69552425151
20200923-093054,13.6,4.69552425151
20200923-093057,14.0,4.69552425151
20200923-093100,11.3,4.69552425151
20200923-093103,12.7,4.69646409835
20200923-093106,12.3,4.69646409835
20200923-093109,15.0,4.69646409835
20200923-093112,6.7,4.69646409835
20200923-093115,12.0,4.69646409835
20200923-093118,11.7,4.69646409835
20200923-093121,7.7,4.69646409835
20200923-093124,11.0,4.69646409835
20200923-093127,18.6,4.69413921407
20200923-093130,14.0,4.69413921407
20200923-093133,14.3,4.69416394688
20200923-093136,12.0,4.69416394688
20200923-093139,14.3,4.69416394688
20200923-093142,13.0,4.695722114
20200923-093145,12.7,4.695722114
